課-序號,序號,生詞,漢拼,詞類,英譯,越譯,泰譯,緬譯,日譯,韓譯,西譯,印尼譯,冊
1-1,12.     ,恐怖片,kǒngbùpiàn ,N,"horror movie (恐怖 kǒngbù, scary; 片 -piàn, film)",phim kinh dị,"หนังสยองขวัญ (恐怖 kǒngbù, น่ากลัว; ฝา -piàn, ภาพยนตร์)",ထိတ်လန့်စရာရုပ်ရှင် (恐怖 kǒngbù၊ ကြောက်စရာ; 片 -piàn၊ ရုပ်ရှင်),ホラー映画 (恐怖 kƒngbù、怖い; 片 -piàn、映画),공포 영화,"película de terror (恐怖 kǒngbù, de miedo; 片 -piàn, película)","film horor (恐怖 kǒngbù, menakutkan; 片 -piàn, film)",4
1-1,13.     ,愛情片,àiqíngpiàn,N,"love story or romance movie （愛情 àiqíng, love)",phim tình cảm,"เรื่องราวความรักหรือภาพยนตร์โรแมนติก （愛情 àiqíng, ความรัก)",အချစ်ဇာတ်လမ်း သို့မဟုတ် အချစ်ဇာတ်ကား (愛情 àiqíng၊ အချစ်),ラブストーリーまたはロマンス映画（愛情 àiqíng、愛）,"러브 스토리 또는 로맨스 영화 (愛情 àiqíng, 사랑)","historia de amor o película romántica (愛情 àiqíng, amor)","kisah cinta atau film romantis （愛情 àiqíng, cinta)",4
1-1,14.     ,嚇,xià,Vp,to be scared,sợ hãi,จะต้องกลัว,ကြောက်တယ်။,怖がる,무서워하다,tener miedo,menjadi takut,4
1-1,15.     ,哭,kū,V,to cry,khóc,ที่จะร้องไห้,ငိုဖို့,泣く,울다,llorar,menangis,4
1-1,16.     ,上癮,shàngyǐn ,Vp,"to get hooked on, addicted","bị nghiện, bị cuốn hút",ที่จะติดยาเสพติดติด,စွဲလမ်းခြင်း ၊,夢中になる、中毒になる,"푹 빠지다, 중독되다","engancharse, adicto","menjadi ketagihan, kecanduan",4
1-1,17.     ,刺激,cìjī ,Vs,stimulating,kích thích,กระตุ้น,လှုံ့ဆော်မှု,刺激的な,자극적인,estimulante,merangsang,4
1-1,18.     ,簡直,jiǎnzhí ,Adv,"simply, really","đơn giản là, thực sự là",ง่ายๆ จริงๆ,ရိုးရိုးရှင်းရှင်း၊ တကယ်,単純に、本当に,"간단히 말해서, 정말","simplemente, realmente","sederhananya, sungguh",4
1-1,19.     ,膽子,dǎnzi ,N,"guts, courage","gan dạ, can đảm",ความกล้าความกล้าหาญ,သတ္တိ၊ သတ္တိ,根性、勇気,"용기, 용기","agallas, coraje","nyali, keberanian",4
1-1,20.     ,部,bù ,M,measure word for movies,bộ (lượng từ cho phim),วัดคำสำหรับภาพยนตร์,ရုပ်ရှင်များအတွက်စကားလုံးတိုင်းတာ,映画の単語を測定する,영화 단어 측정,medir palabras para películas,mengukur kata untuk film,4
1-1,21.     ,限制級,xiànzhìjí ,N,"restricted (viewing for movies) (限制 xiànzhì, restricted; 級 -jí, level)",giới hạn độ tuổi xem (phim),"จำกัด (การชมภาพยนตร์) (限制 xiànzhì, จำกัด; 級 -jí, ระดับ)",ကန့်သတ်ထားသည် (ရုပ်ရှင်များအတွက် ကြည့်ရှုခြင်း) (限制 xiànzhì၊ ကန့်သတ်ချက်၊ 級 -jí၊ အဆင့်),制限付き (映画の視聴) (制限 xiànzhì、制限付き; 級 -jí、レベル),"제한됨 (영화 보기) (限system xianzhì, 제한됨; 級 -jí, 수준)","restringido (visión de películas) (限制 xiànzhì, restringido; 級 -jí, nivel)","dibatasi (menonton film) (限制 xiànzhì, dibatasi; 級 -jí, level)",4
1-1,22.     ,電影院,diànyǐngyuàn ,N,"cinema, movie theater",rạp chiếu phim,"โรงภาพยนตร์, โรงภาพยนตร์",ရုပ်ရှင်ရုံ၊ ရုပ်ရှင်ရုံ,映画館、映画館,"영화관, 영화관","cine, sala de cine","bioskop, bioskop",4
1-1,23.     ,呃,è  ,Ptc,"uh, interjection indicating embarrassment","ừ, ờ (thán từ ngại ngùng)",เอ่อ คำอุทานที่บ่งบอกถึงความลำบากใจ,ရှက်ရွံ့မှုကို ညွှန်ပြသော စကားပြန်,えー、当惑を表す間投詞,"어, 부끄러움을 나타내는 감탄사","uh, interjección que indica vergüenza","eh, kata seru yang menunjukkan rasa malu",4
1-1,24.     ,建設公司,jiànshè gōngsī ,,construction company,công ty xây dựng,บริษัทรับเหมาก่อสร้าง,ဆောက်လုပ်ရေးကုမ္ပဏီ,建設会社,건설 회사,empresa constructora,perusahaan konstruksi,4
1-1,25.     ,業務經理,yèwù jīnglǐ ,,business manager,giám đốc kinh doanh,ผู้จัดการธุรกิจ,စီးပွားရေးမန်နေဂျာ,ビジネスマネージャー,사업 관리자,gerente de negocios,manajer bisnis,4
1-1,26.     ,室內設計,shìnèi shèjì ,,interior design,thiết kế nội thất,การออกแบบตกแต่งภายใน,အတွင်းပိုင်းဒီဇိုင်း,インテリアデザイン,인테리어 디자인,diseño de interiores,desain interior,4
1-2,1.        ,溫暖,wēnnuǎn ,Vs,warm,ấm áp,อบอุ่น,နွေး,暖かい,따뜻한,cálido,hangat,4
1-2,2.        ,目前,mùqián ,Adv,currently,hiện tại,ตอนนี้,လောလောဆယ်,現在,현재,actualmente,saat ini,4
1-2,3.        ,所,suǒ,M,measure word for schools,ngôi (lượng từ cho trường học),วัดคำสำหรับโรงเรียน,ကျောင်းများအတွက်စကားလုံးတိုင်းတာ,学校向けの単語を測定する,학교 단어 측정,medir palabra para escuelas,mengukur kata untuk sekolah,4
1-2,4.        ,就讀,jiùdú ,Vi,to be enrolled as a student,"nhập học, ghi danh",ที่จะลงทะเบียนเป็นนักเรียน,ကျောင်းသားအဖြစ် စာရင်းသွင်းရန်,学生として登録する,학생으로 등록하다,estar matriculado como estudiante,didaftarkan sebagai pelajar,4
1-2,5.        ,不至於,búzhìyú ,Adv,"not so, not to that degree, not so much that ","không đến mức, không đến nỗi",ไม่อย่างนั้น ไม่ถึงขนาดนั้น ไม่มากขนาดนั้น,မဟုတ်ဘူး၊ ဒီလောက်တော့ မဟုတ်ဘူး။,そうではない、それほどではない、それほどではない,"그렇지 않다, 그 정도는 아니다, 그 정도는 아니다","no tanto, no hasta tal punto, no tanto que","tidak begitu, tidak sampai pada tingkat itu, tidak terlalu banyak",4
1-2,6.        ,但,dàn,Conj,"but, however (formal)","nhưng, tuy nhiên (trang trọng)",แต่อย่างไรก็ตาม (เป็นทางการ),ဒါပေမယ့် (တရားဝင်)၊,しかし、しかし（正式な）,"하지만, 그런데 (formal)","pero, sin embargo (formal)","tapi, bagaimanapun (formal)",4
1-2,7.        ,放學,fàngxué ,Vp,"after school, when school lets out","tan học, sau giờ học",หลังเลิกเรียนเมื่อโรงเรียนเลิกเรียน,ကျောင်းပြီးလို့ ကျောင်းထွက်တဲ့အခါ,放課後、学校が休みになると,"방과 후, 학교가 끝나면","después de la escuela, cuando termina la escuela","sepulang sekolah, saat sekolah libur",4
1-2,8.        ,後,hòu,N,afterwards (formal),sau đó (trang trọng),หลังจากนั้น (เป็นทางการ),ထို့နောက် (တရားဝင်),その後（正式に）,나중에 (공식적으로),después (formal),setelah itu (resmi),4
1-2,9.        ,解決,jiějué ,V,to take care,chăm sóc,ที่จะดูแล,ဂရုစိုက်ရန်,世話をする,돌보다,cuidar,berhati-hati,4
1-2,10.     ,寂寞,jímò ,Vs,lonely,cô đơn,เหงา,အထီးကျန်,さみしい,외로운,solitario,kesepian,4
1-2,11.     ,網友,wǎngyǒu ,N,online friends,bạn bè qua mạng,เพื่อนออนไลน์,အွန်လိုင်းသူငယ်ချင်းများ,オンラインの友達,온라인 친구,amigos en línea,teman daring,4
1-2,12.     ,陪伴,péibàn ,V,to keep somebody company,"làm bạn, giữ công ty",เพื่อให้ใครสักคนเป็นเพื่อน,တစ်ယောက်ယောက်ကို ပေါင်းသင်းဖို့,誰かと一緒にいるために,누군가를 회사로 유지하기 위해,hacerle compañía a alguien,menemani seseorang,4
1-2,13.     ,電腦,diànnǎo ,N,computer,máy tính,คอมพิวเตอร์,ကွန်ပျူတာ,コンピューター,컴퓨터,computadora,komputer,4
1-2,14.     ,進入,jìnrù ,V,to enter,"vào, truy cập",เพื่อเข้า,ဝင်ရန်,入る,들어가다,entrar,masuk,4
1-2,15.     ,線上,xiànshàng ,N,online,trực tuyến,ออนไลน์,အွန်လိုင်း,オンライン,온라인,en línea,on line,4
1-2,16.     ,感情,gǎnqíng ,N,"emotions, feelings, love","tình cảm, cảm xúc",อารมณ์ความรู้สึกความรัก,စိတ်ခံစားမှု၊ ခံစားချက်၊ အချစ်,感情、感情、愛,"감정, 감정, 사랑","emociones, sentimientos, amor","emosi, perasaan, cinta",4
1-2,17.     ,小氣,xiǎoqì ,Vs,to be stingy,keo kiệt,ที่จะตระหนี่,တွန့်တိုခြင်း။,ケチになる,인색하다,ser tacaño,menjadi pelit,4
1-2,18.     ,時,shí,N,when (formal),khi (trang trọng),เมื่อ (เป็นทางการ),အခါ (တရားဝင်),いつ（正式な）,언제 (공식적으로),cuando (formal),kapan (formal),4
1-2,19.     ,往往,wǎngwǎng ,Adv,"oftentimes, generally","thường thường, nói chung là",บ่อยครั้งโดยทั่วไป,မကြာခဏ၊ ယေဘုယျအားဖြင့်,多くの場合、一般的に,"종종, 일반적으로","muchas veces, generalmente","seringkali, secara umum",4
1-2,20.     ,打氣,dǎqì ,Vi,to cheer on/up,cổ vũ,เพื่อเชียร์/ขึ้น,အားပေးရန်,応援する/元気づける,응원하다/기분을 높이다,animar/animar,menyemangati/meningkatkan semangat,4
1-2,21.     ,安慰,ānwèi ,V,to comfort,an ủi,เพื่อความสะดวกสบาย,နှစ်သိမ့်ရန်,慰める,위로하다,consolar,kenyamanan,4
1-2,22.     ,心裡,xīnlǐ ,N,in (one’s) mind,trong lòng,ในใจ (คนหนึ่ง),(စိတ်)၌,（自分の）心の中で,(사람의) 마음 속에,en (la) mente,dalam pikiran (seseorang),4
1-2,23.     ,大膽,dàdǎn ,Vs,"to be bold, courageous","gan dạ, dũng cảm",กล้าหาญและกล้าหาญ,ရဲရင့်ရန်၊ ရဲရင့်ရန်,大胆であること、勇敢であること,"대담하다, 용감하다","ser audaz, valiente","menjadi berani, berani",4
1-2,24.     ,紓解,shūjiě ,V,to relieve,giải tỏa,เพื่อบรรเทา,သက်သာစေရန်,和らげる,완화하다,aliviar,meringankan,4
1-2,25.     ,轉換,zhuǎnhuàn ,V,"to change, transform","thay đổi, biến đổi",เปลี่ยนแปลงเปลี่ยนแปลง,ပြောင်းလဲရန်၊ အသွင်ပြောင်းရန်,変化する、変容する,"변화시키다, 변화시키다","cambiar, transformar","berubah, bertransformasi",4
1-2,26.     ,虛擬,xūnǐ ,Vs-attr,virtual,ảo,เสมือน,အတုအယောင်၊ ဒစ်ဂျစ်တယ်,バーチャル,가상,virtual,maya,4
1-2,27.     ,現實,xiànshí ,Vs,"actual, real","thực tế, thật",จริงจริง,အမှန်တကယ်၊ အစစ်အမှန်,実際の、本物の,"실제, 진짜","real, real","sebenarnya, nyata",4
1-2,28.     ,心理,xīnlǐ ,N,"psychological, mental",tâm lý,จิตวิทยาจิต,စိတ်ပိုင်းဆိုင်ရာ၊ စိတ်ပိုင်းဆိုင်ရာ,心理的な、精神的な,"심리적, 정신적","psicológico, mental","psikologis, mental",4
1-2,29.     ,即使,jíshǐ,Conj,"even if, even though","ngay cả khi, mặc dù",แม้ว่า แม้ว่าก็ตาม,ပင်လျှင်ပင်,たとえ、たとえ、たとえ,"설령, 그래도","incluso si, aunque","meskipun, meskipun",4
1-2,30.     ,責備,zébèi ,V,"to reproach, get on somebody’s case","trách mắng, la rầy",ประณามไปฟ้องคดีของใครบางคน,ကဲ့ရဲ့ဖို့၊ တစ်စုံတစ်ယောက်ရဲ့ ကိစ္စနဲ့ ပတ်သက်တယ်။,非難する、誰かの事件に取り組む,"비난하다, 누군가의 사건에 개입하다","reprochar, meterse en el caso de alguien","mencela, menangani kasus seseorang",4
1-2,31.     ,期待,qídài ,N,expectations,kỳ vọng,ความคาดหวัง,မျှော်လင့်ချက်များ,期待,기대,esperanzas de heredar,harapan,4
1-2,32.     ,喘氣,chuǎnqì ,V-sep,"to gasp, pant","thở hổn hển, thở gấp",หายใจไม่ออกหอบ,ဟောဟဲ၊ ဟောဟဲ,あえぐ、あえぐ,"헐떡거리다, 헐떡거리다","jadear, jadear","terkesiap, terengah-engah",4
1-2,33.     ,自在,zìzài ,Vs,"to be at ease, relaxed","thoải mái, thư giãn",เพื่อความสบายใจผ่อนคลาย,သက်တောင့်သက်သာရှိရန်၊,安心する、リラックスする,"편안해지다, 편안해지다","estar a gusto, relajado","menjadi tenang, santai",4
1-2,34.     ,交友,jiāoyǒu,Vi,to make friends (with),kết bạn (với),เพื่อหาเพื่อน (กับ),မိတ်ဆွေဖွဲ့ရန်,友達を作る（と）,(와) 친구를 사귀다,hacer amistad (con),berteman (dengan),4
1-2,35.     ,暴力,bàolì ,N,violence,bạo lực,ความรุนแรง,အကြမ်းဖက်မှု,暴力,폭행,violencia,kekerasan,4
1-2,36.     ,點,diǎn,V,to click (on),nhấp chuột (vào),คลิก (เปิด),နှိပ်ရန် (on),クリック（オン）,(켜다) 클릭하다,hacer clic (en),mengklik (pada),4
1-2,37.     ,懂得,dǒngde  ,Vst,to know how to,"biết cách, có khả năng",เพื่อรู้วิธี,လုပ်နည်းသိရန်,方法を知るために,방법을 알기 위해,saber como,mengetahui caranya,4
1-2,38.     ,陷阱,xiànjǐng ,N,"trap, snare","bẫy, cạm",กับดักบ่วง,ထောင်ချောက်၊ ကျော့ကွင်း,罠、わな,"덫, 덫","trampa, lazo","perangkap, jerat",4
1-2,39.     ,明星高中,míngxīng gāozhōng,,"distinguished ,exclusive high school",trường trung học danh tiếng,โรงเรียนมัธยมที่โดดเด่นและพิเศษ,သီးသန့် အထက်တန်းကျောင်း,名門、私立高校,명문특화고등학교,escuela secundaria distinguida y exclusiva,SMA yang ternama dan eksklusif,4
1-2,40.     ,早出晚歸,zǎochū wǎnguī ,,to leave home early and get home late,đi sớm về khuya,ออกจากบ้านเร็วและกลับบ้านดึก,အိမ်စောစောထွက်ပြီး အိမ်ပြန်နောက်ကျတယ်။,早く家を出て遅く帰宅すること,집에 일찍 나가서 늦게 집에 가다,salir temprano de casa y llegar tarde,meninggalkan rumah lebih awal dan pulang terlambat,4
1-2,41.     ,打開,dǎkāi,,"to turn on, to power on","bật, mở nguồn",เพื่อเปิดเครื่อง,ဖွင့်ရန်၊ ပါဝါဖွင့်ရန်,電源を入れる、電源を入れる,"켜다, 전원을 켜다","encender, encender","menghidupkan, menghidupkan",4
1-2,42.     ,喘不過氣,chuǎnbúguò qì ,,"to be under great pressure, (lit.) unable to breathe ","chịu áp lực lớn, (nghĩa đen) không thở nổi",ตกอยู่ใต้ความกดดันอย่างมาก (แท้จริงแล้ว) หายใจไม่ออก,"ကြီးစွာသောဖိအားအောက်တွင်, (စာသားအရ,) အသက်ရှူမရပါ။",大きなプレッシャーにさらされ、（文字通り）呼吸できなくなる,"큰 압박을 받다, (문자 그대로,) 숨을 쉴 수 없다","estar bajo gran presión, (literalmente,) incapaz de respirar","berada di bawah tekanan besar, (secara harfiah,) tidak dapat bernapas",4
1-2,43.     ,躲進,duǒjìn,,to hide oneself in ,ẩn mình trong,เพื่อซ่อนตัวอยู่ในนั้น,ပုန်းအောင်းရန်,中に身を隠す,자신을 숨기다,esconderse en,menyembunyikan diri,4
1-2,44.     ,掉進,diàojìn ,,to fall into,rơi vào,ที่จะตกอยู่ใน,ပြိုလဲရန်,に陥る,에 빠지다,caer en,jatuh ke dalam,4
2-1,1.        ,李雲真,Lǐ Yúnzhēn ,,"Li Yunzhen, female","Lý Vân Trân, nữ",หลี่ หยุนเจิ้น หญิง,"Li Yunzhen, အမျိုးသမီး",リー・ユンジェンさん、女性,리윤진(여),"Li Yunzhen, mujer","Li Yunzhen, perempuan",4
2-1,2.        ,眼睛,yǎnjīng ,N,eye,mắt,ดวงตา,မျက်စိ,目,눈,ojo,mata,4
2-1,3.        ,耳朵,ěrduo ,N,ear,tai,หู,နား,耳,귀,oreja,telinga,4
2-1,4.        ,饗宴,xiǎngyàn ,N,feast,bữa tiệc,งานฉลอง,ပွဲ,ごちそう,잔치,banquete,pesta,4
2-1,5.        ,打扮,dǎbàn ,V,to put on makeup,trang điểm,ที่จะแต่งหน้า,မိတ်ကပ်လိမ်းဖို့,化粧をする,화장을 하려고,maquillarse,merias wajah,4
2-1,6.        ,音樂廳,yīnyuètīng,N,"music hall, concert hall(廳 -tīng, hall)",phòng hòa nhạc,"ฮอลล์ดนตรี, คอนเสิร์ตฮอล(廳 -tīng, ฮอล)",ဂီတခန်းမ၊ ပွဲရုံ(廳 -tīng၊ Hall),音楽ホール、コンサートホール(廳 -tīng、ホール),"음악당, 연주회장(廳-tīng, 홀)","sala de música, sala de conciertos(廳 -tīng, sala)","ruang musik, ruang konser (廳 -tīng, aula)",4
2-1,7.        ,表演,biǎoyǎn ,N/V,performance; to perform,buổi biểu diễn; biểu diễn,ผลงาน; เพื่อดำเนินการ,စွမ်းဆောင်ရည်; လုပ်ဆောင်ရန်,パフォーマンス;実行する,성능; 수행하다,actuación; realizar,pertunjukan; melakukan,4
2-1,8.        ,整齊,zhěngqí ,Vs,neat,"gọn gàng, chỉn chu",ประณีต,သပ်ရပ်တယ်။,きちんとした,정돈된,limpio,rapi,4
2-1,9.        ,穿著,chuānzhuó  ,N,attire,trang phục,เครื่องแต่งกาย,ဝတ်စုံ,服装,옷차림,atuendo,pakaian,4
2-1,10.     ,丟臉,diūliǎn ,Vs-sep,"to lose face, to be embarrassed","mất mặt, xấu hổ","เสียหน้า, เขินอาย",မျက်နှာပျက်ဖို့၊ ရှက်ဖို့ကောင်းတယ်။,面目を失う、当惑する,"체면을 잃다, 당황스러워하다","perder la cara, estar avergonzado","kehilangan muka, merasa malu",4
2-1,11.     ,短褲,duǎnkù ,N,shorts,quần soóc,กางเกงขาสั้น,ဘောင်းဘီတို,ショートパンツ,반바지,bermudas,celana pendek,4
2-1,12.     ,涼鞋,liángxié ,N,sandals,dép xăng-đan,รองเท้าแตะ,ခြေညှပ်ဖိနပ်,サンダル,샌들,sandalias,sandal,4
2-1,13.     ,擋,dǎng ,V,to block,"chặn, cản",เพื่อบล็อก,ပိတ်ဆို့ရန်,ブロックする,차단하다,bloquear,memblokir,4
2-1,14.     ,演出者,yǎnchūzhě ,N,"performer (演出 yǎnchū, to perform; 者 -zhě, person)",người biểu diễn,"นักแสดง (演出 yǎnchū, การแสดง; 者 -zhě, คน)",ဖျော်ဖြေသူ (演出 yǎnchū၊ ဖျော်ဖြေရန်၊ 者 -zhě၊ လူ),出演者 (演出 yƎchchu、出演する; 者 -zhě、人),공연자,"intérprete (演出 yǎnchū, realizar; 者 -zhě, persona)","pemain (演出 yǎnchū, melakukan; 者 -zhě, orang)",4
2-1,15.     ,尊重,zūnzhòng ,Vst,to respect,tôn trọng,ที่จะเคารพ,လေးစားရန်,尊重する,존경하다,respetar,menghormati,4
2-1,16.     ,社交,shèjiāo ,N,socialization,giao tiếp xã hội,การขัดเกลาทางสังคม,လူမှုဆက်ဆံရေး,社交化,사회화,socialización,sosialisasi,4
2-1,17.     ,免得,miǎnde,Conj,"lest, so as not to, to avoid","để khỏi, kẻo, tránh cho",เกรงว่าจะไม่หลีกเลี่ยง,ရှောင်ရန်မဖြစ်စေရန်,そうならないように、避けるために,"~하지 않도록, 피하기 위해",para que no se evite,"jangan sampai, tidak, terhindar",4
2-1,18.     ,中場,zhōngchǎng ,N,"intermission, halftime","giờ giải lao, nghỉ giữa giờ","ช่วงพักครึ่ง, พักครึ่ง",ကြားဖြတ်၊ အနားယူချိန်,休憩、ハーフタイム,"휴식시간, 하프타임","intermedio, medio tiempo","istirahat, paruh waktu",4
2-1,19.     ,準時,zhǔnshí ,Vs,"to be punctual, on time",đúng giờ,ตรงต่อเวลา,အချိန်မှန်၊ အချိန်မှန်ရှိရန်,時間通りに、時間どおりに,"시간을 잘 지키다, 시간에 맞춰","ser puntual, a tiempo","menjadi tepat waktu, tepat waktu",4
2-1,20.     ,禮貌,lǐmào ,N,courtesy,phép lịch sự,ความสุภาพ,ယဉ်ကျေးသော,礼儀,예의,cortesía,kesopanan,4
2-1,21.     ,或,huò,Conj,or (formal),hoặc là (trang trọng),หรือ (เป็นทางการ),သို့မဟုတ် (တရားဝင်),または（正式な）,또는 (공식적으로),o (formal),atau (resmi),4
2-1,22.     ,熟,shóu ,Vs,"to be familiar with, to be close to somebody","thân thiết, quen biết","คุ้นเคย, ใกล้ชิดกับใครสักคน",တစ်ယောက်ယောက်နဲ့ ရင်းနှီးဖို့၊,誰かに精通している、近くにいる,"누군가와 친해지다, 친해지다","estar familiarizado con, estar cerca de alguien","menjadi akrab dengan, menjadi dekat dengan seseorang",4
2-1,23.     ,提,tí ,V,"to bring up, mention","nhắc đến, đề cập",เพื่อนำมาพูดถึง,ယူဆောင်လာရန်၊ ဖော်ပြပါ။,持ち出す、言及する,"언급하다, 언급하다","mencionar, mencionar","mengemukakan, menyebutkan",4
2-1,24.     ,咳嗽,késòu ,Vi,to cough,ho,ไอ,ချောင်းဆိုးရန်,咳をする,기침하다,toser,batuk,4
2-1,25.     ,關,guān ,V,"to close, shut off","đóng, tắt",เพื่อปิดปิด,ပိတ်ရန်၊ ပိတ်ရန်,閉じる、止める,"닫다, 끄다","cerrar, apagar","menutup, mematikan",4
2-1,26.     ,哇,wa ,Ptc,"yikes, oh no","ôi trời, chết rồi",ใช่แล้ว โอ้ ไม่,ဟုတ်တယ်၊ မဟုတ်ဘူး,やあ、ああ、だめだ,"응, 아 안돼","Ay, oh no","ya, oh tidak",4
2-1,27.     ,水準,shuǐzhǔn ,N,"class, cultural standard","trình độ, văn hóa",ชนชั้น มาตรฐานวัฒนธรรม,အဆင့်အတန်း၊ ယဉ်ကျေးမှုစံနှုန်း,階級、文化的基準,"계급, 문화 표준","clase, estándar cultural","kelas, standar budaya",4
2-1,28.     ,手冊,shǒucè ,N,"programme, manual","chương trình, sổ tay hướng dẫn","โปรแกรม, คู่มือ",ပရိုဂရမ်၊ လက်စွဲစာအုပ်,プログラム、マニュアル,"프로그램, 매뉴얼","programa, manual","program, manual",4
2-1,29.     ,洗手間,xǐshǒujiān ,N,"restroom (間 -jiān, part of 房間, room)",nhà vệ sinh,ห้องน้ำ (間 -jiān ส่วนหนึ่งของ 房間 ห้อง),သန့်စင်ခန်း (間 -jiān၊ 房間၊ အခန်း),トイレ（間間、房間の一部）,"화장실 (간 -jiān, 房간의 일부, 방)","baño (間 -jiān, parte de 房間, habitación)","kamar kecil (間 -jiān, bagian dari 房間, kamar)",4
2-1,30.     ,提醒,tíxǐng ,V,to remind,nhắc nhở,เพื่อเตือน,သတိပေးရန်,思い出させる,상기시키다,recordar,mengingatkan,4
2-1,31.     ,響,xiǎng ,Vp,to sound,"nghe, âm thanh",เสียง,အသံထွက်ရန်,音を出す,소리를 내다,sonar,berbunyi,4
2-1,32.     ,糟,zāo ,Vs,awful,"tồi tệ, kinh khủng",แย่มาก,မကောင်းပါဘူး။,ひどい,끔찍한,horrible,buruk sekali,4
2-1,33.     ,噓,xū ,Ptc,"Shh, to hush ","Suỵt, bảo im lặng",จุ๊ๆ เพื่อเงียบๆ,တိတ်တိတ်နေ,しー、黙ってろ,"쉿, 쉿","Shh, callar","Ssst, diam",4
2-1,34.     ,看不成,kànbùchéng ,,to miss out,bỏ lỡ,ที่จะพลาด,လက်လွတ်ရန်,逃す,놓치다,perderse,dilewatkan,4
2-1,35.     ,聯絡感情,liánluò gǎnqíng,,to get to know each other better to strengthen ties with each other,tìm hiểu nhau hơn để thắt chặt mối quan hệ,เพื่อทำความรู้จักกันให้ดีขึ้นเพื่อกระชับความสัมพันธ์ระหว่างกัน,တစ်ယောက်နဲ့တစ်ယောက် ဆက်ဆံရေး ပိုကောင်းလာဖို့၊,お互いをもっと知り、絆を強める,서로를 더 잘 알아가기 위해 서로의 유대를 강화하기 위해,conocernos mejor fortalecer los lazos entre nosotros,lebih mengenal satu sama lain untuk mempererat tali silaturahmi satu sama lain,4
2-1,36.     ,擤鼻涕,xǐng bítì ,,to blow one’s nose,hỉ mũi,เพื่อสั่งน้ำมูก,နှာခေါင်းမှုတ်ရန်,鼻をかむ,코를 풀다,sonarse la nariz,meniup hidung seseorang,4
2-2,1.        ,場,chǎng ,M,measure word for performances,buổi (lượng từ cho tiết mục biểu diễn),วัดคำสำหรับการแสดง,ဖျော်ဖြေပွဲများအတွက် စကားလုံးကို တိုင်းတာပါ။,パフォーマンスのための単語を測定する,공연에 대한 단어 측정,medir la palabra para actuaciones,mengukur kata untuk pertunjukan,4
2-2,2.        ,強調,qiángdiào ,V,to stress,nhấn mạnh,ความเครียด,ဖိစီးရန်,ストレスを与える,스트레스를 받다,estresarse,stres,4
